"","INDEX","P_TARGET_FLAG","P_TARGET_AMT"
"207",971,"1",3258
"208",981,"0",1076
"209",982,"0",717
"210",983,"0",236
"211",984,"0",356
"212",989,"0",1370
"213",990,"0",1932
"214",992,"0",1113
"215",995,"0",972
"216",996,"0",1356
"217",998,"0",1971
"218",1001,"0",1131
"219",1007,"0",368
"220",1008,"0",1058
"221",1016,"0",865
"222",1022,"0",343
"223",1027,"0",1367
"224",1032,"0",781
"225",1033,"0",1506
"226",1041,"1",2065
"227",1065,"1",2631
"228",1074,"1",1890
"229",1075,"0",1607
"230",1081,"0",1231
"231",1094,"0",515
"232",1099,"0",1341
"233",1105,"0",2316
"234",1123,"0",689
"235",1135,"0",1044
"236",1142,"0",1845
"237",1155,"0",528
"238",1169,"0",498
"239",1176,"0",313
"240",1178,"1",1728
"241",1180,"0",581
"242",1184,"0",553
"243",1185,"1",3552
"244",1193,"0",1068
"245",1196,"0",1014
"246",1199,"0",2162
"247",1203,"0",1354
"248",1205,"0",1076
"249",1207,"0",574
"250",1208,"1",2134
"251",1212,"0",2293
"252",1213,"1",2372
"253",1222,"0",1877
"254",1223,"0",1764
"255",1226,"0",1895
"256",1227,"0",2154
"257",1229,"0",1006
"258",1230,"0",1502
"259",1231,"1",2276
"260",1241,"0",1423
"261",1243,"0",506
"262",1244,"0",1091
"263",1246,"0",1362
"264",1248,"0",1228
"265",1249,"0",447
"266",1252,"0",601
"267",1261,"0",714
"268",1275,"0",693
"269",1281,"1",4227
"270",1285,"1",2145
"271",1288,"1",1883
"272",1290,"0",234
"273",1291,"0",2924
"274",1304,"1",2504
"275",1305,"0",1400
"276",1323,"0",1005
"277",1342,"1",3033
"278",1348,"0",1975
"279",1353,"0",1469
"280",1363,"0",874
"281",1371,"0",2238
"282",1372,"0",1331
"283",1378,"0",2199
"284",1381,"0",1864
"285",1382,"0",2148
"286",1393,"1",1992
"287",1394,"0",488
"288",1398,"0",2241
"289",1404,"1",1979
"290",1405,"1",2165
"291",1419,"0",1809
"292",1421,"0",1514
"293",1426,"0",1554
"294",1431,"1",2790
"295",1435,"0",2916
"296",1437,"0",1300
"297",1438,"0",1357
"298",1442,"1",2899
"299",1464,"0",463
"300",1471,"0",1782
"301",1473,"0",1360
"302",1476,"0",625
"303",1478,"1",1550
"304",1479,"0",2375
"305",1487,"0",1949
"306",1492,"1",2897
"307",1496,"0",623
"308",1497,"0",1848
"309",1515,"0",664
"310",1519,"0",1113
"311",1522,"1",3666
"312",1526,"0",1821
"313",1537,"0",902
"314",1538,"1",3183
"315",1540,"0",945
"316",1543,"0",1470
"317",1548,"0",1432
"318",1549,"0",1296
"319",1556,"1",2363
"320",1564,"0",216
"321",1570,"1",1873
"322",1577,"1",2132
"323",1585,"0",473
"324",1590,"0",914
"325",1592,"1",2358
"326",1594,"0",1447
"327",1596,"0",2360
"328",1598,"0",2195
"329",1603,"0",2188
"330",1607,"0",1825
"331",1612,"0",605
"332",1627,"0",659
"333",1629,"1",2720
"334",1630,"0",748
"335",1640,"0",2396
"336",1641,"0",1902
"337",1646,"0",1287
"338",1662,"1",1558
"339",1668,"0",1115
"340",1671,"0",459
"341",1672,"1",2441
"342",1673,"1",4499
"343",1686,"0",2730
"344",1688,"1",3211
"345",1696,"0",570
"346",1701,"0",776
"347",1707,"0",689
"348",1708,"0",639
"349",1713,"0",1378
"350",1715,"0",1718
"351",1717,"0",1065
"352",1721,"0",1689
"353",1724,"1",4115
"354",1725,"1",2365
"355",1730,"0",1351
"356",1731,"0",2396
"357",1734,"0",1624
"358",1740,"0",608
"359",1748,"0",279
"360",1749,"0",765
"361",1750,"1",2999
"362",1763,"0",1122
"363",1768,"0",434
"364",1773,"1",2383
"365",1777,"0",606
"366",1778,"0",3325
"367",1780,"0",959
"368",1782,"0",1941
"369",1784,"0",860
"370",1786,"0",740
"371",1787,"0",1236
"372",1792,"0",836
"373",1800,"1",3013
"374",1801,"0",1427
"375",1803,"0",887
"376",1804,"1",1814
"377",1807,"0",432
"378",1818,"0",1185
"379",1821,"0",443
"380",1822,"0",1391
"381",1828,"0",761
"382",1833,"0",2370
"383",1844,"0",1353
"384",1847,"1",2269
"385",1850,"0",313
"386",1854,"0",1567
"387",1858,"0",2175
"388",1864,"0",1087
"389",1867,"0",1316
"390",1876,"1",2704
"391",1880,"0",1075
"392",1881,"0",861
"393",1891,"0",1132
"394",1894,"0",1556
"395",1895,"0",524
"396",1901,"0",1538
"397",1905,"0",377
"398",1912,"1",1665
"399",1918,"0",1701
"400",1921,"0",1938
"401",1923,"0",1677
"402",1924,"0",1143
"403",1931,"0",1066
"404",1941,"0",621
"405",1950,"0",324
"406",1951,"0",1035
"407",1954,"0",797
"408",1961,"0",1499
"409",1966,"0",616
"410",1979,"0",525
"411",1982,"0",594
"412",1987,"1",2545
"413",1997,"0",951
"414",2004,"0",128
"415",2011,"0",2561
"416",2015,"0",1910
"417",2025,"0",1210
"418",2033,"0",1737
"419",2034,"0",574
"420",2035,"0",1567
"421",2036,"0",2391
"422",2053,"0",3108
"423",2059,"1",3723
"424",2060,"0",1006
"425",2073,"0",1754
"426",2084,"0",2094
"427",2089,"0",827
"428",2092,"0",2062
"429",2109,"0",1673
"430",2129,"1",2729
"431",2134,"0",1429
"432",2135,"0",267
"433",2148,"0",293
"434",2149,"0",519
"435",2150,"0",1650
"436",2165,"1",3497
"437",2166,"0",145
"438",2168,"0",353
"439",2170,"0",1131
"440",2171,"0",855
"441",2172,"0",298
"442",2176,"0",1356
"443",2182,"0",566
"444",2189,"0",1323
"445",2191,"0",943
"446",2197,"0",794
"447",2202,"0",914
"448",2203,"0",781
"449",2204,"1",2348
"450",2206,"1",2926
"451",2218,"0",639
"452",2219,"0",1256
"453",2221,"1",1812
"454",2226,"0",1745
"455",2228,"0",1701
"456",2232,"1",2448
"457",2236,"0",1253
"458",2241,"1",5412
"459",2245,"0",298
"460",2251,"0",2004
"461",2255,"0",352
"462",2256,"0",676
"463",2259,"0",514
"464",2263,"1",2765
"465",2264,"0",532
"466",2267,"0",870
"467",2273,"1",3341
"468",2277,"0",2288
"469",2287,"0",951
"470",2289,"0",1709
"471",2291,"0",1025
"472",2296,"1",3086
"473",2299,"0",2095
"474",2306,"0",475
"475",2314,"0",1511
"476",2317,"0",835
"477",2318,"0",2166
"478",2321,"1",3017
"479",2324,"0",1090
"480",2340,"0",1866
"481",2343,"0",572
"482",2349,"0",937
"483",2352,"0",794
"484",2353,"0",1925
"485",2365,"1",2816
"486",2370,"0",2599
"487",2378,"0",1221
"488",2390,"0",1996
"489",2399,"0",1358
"490",2402,"1",2976
"491",2403,"1",1608
"492",2404,"0",725
"493",2414,"0",1845
"494",2422,"0",1687
"495",2424,"0",852
"496",2430,"1",2292
"497",2435,"0",1432
"498",2439,"0",707
"499",2442,"0",2049
"500",2445,"1",2656
"501",2449,"0",1628
"502",2451,"0",1252
"503",2461,"1",2365
"504",2464,"0",1735
"505",2465,"0",2557
"506",2472,"0",1061
"507",2476,"0",2522
"508",2482,"0",842
"509",2487,"0",1857
"510",2498,"0",942
"511",2501,"0",292
"512",2504,"0",1734
"513",2511,"0",1879
"514",2518,"0",844
"515",2521,"0",1407
"516",2530,"0",730
"517",2543,"1",2946
"518",2545,"1",3503
"519",2561,"0",2026
"520",2566,"1",2807
"521",2572,"0",1210
"522",2577,"0",1114
"523",2578,"0",739
"524",2580,"0",1500
"525",2581,"0",1062
"526",2582,"0",509
"527",2584,"0",333
"528",2590,"0",597
"529",2598,"0",419
"530",2602,"0",1654
"531",2605,"0",913
"532",2616,"0",963
"533",2618,"0",1641
"534",2619,"0",1226
"535",2624,"0",307
"536",2632,"0",413
"537",2640,"0",1411
"538",2646,"0",791
"539",2651,"0",612
"540",2660,"0",141
"541",2661,"0",334
"542",2668,"0",560
"543",2670,"0",1525
"544",2680,"1",2120
"545",2681,"0",805
"546",2689,"0",2112
"547",2694,"0",599
"548",2695,"1",3991
"549",2696,"1",4253
"550",2702,"0",1294
"551",2704,"0",1135
"552",2708,"0",979
"553",2709,"0",479
"554",2714,"1",2195
"555",2716,"0",1162
"556",2723,"0",829
"557",2725,"0",2170
"558",2738,"0",758
"559",2750,"0",1484
"560",2756,"0",2553
"561",2758,"0",509
"562",2766,"0",1812
"563",2767,"0",1646
"564",2771,"0",1500
"565",2775,"0",2313
"566",2776,"0",1124
"567",2779,"1",4095
"568",2780,"0",1519
"569",2781,"0",1686
"570",2782,"1",2216
"571",2783,"0",980
"572",2796,"0",1560
"573",2798,"0",1979
"574",2800,"0",514
"575",2803,"0",712
"576",2806,"0",388
"577",2813,"0",815
"578",2818,"0",906
"579",2821,"1",2469
"580",2825,"0",965
"581",2829,"0",1008
"582",2830,"1",2648
"583",2833,"0",1060
"584",2839,"1",3510
"585",2843,"0",481
"586",2846,"0",699
"587",2847,"0",1094
"588",2848,"0",1254
"589",2856,"1",2942
"590",2863,"0",1692
"591",2867,"0",1683
"592",2869,"0",810
"593",2873,"0",205
"594",2874,"0",2697
"595",2875,"0",1900
"596",2880,"1",2391
"597",2886,"1",2481
"598",2887,"0",2951
"599",2888,"0",1196
"600",2889,"1",2153
"601",2890,"0",2044
"602",2892,"0",1222
"603",2901,"0",1962
"604",2902,"0",898
"605",2905,"0",1614
"606",2917,"0",2863
"607",2922,"1",2285
"608",2924,"0",1058
"609",2930,"0",1571
"610",2931,"0",496
"611",2946,"0",1080
"612",2955,"0",2817
"613",2962,"0",559
"614",2964,"0",802
"615",2965,"0",2303
"616",2967,"0",651
"617",2970,"0",1053
"618",2973,"0",3565
"619",2974,"0",1115
"620",2976,"1",5057
"621",2977,"0",1105
"622",2978,"0",914
"623",2986,"0",742
"624",2988,"0",1817
"625",2989,"0",1141
"626",2995,"1",9266
"627",3005,"1",4015
"628",3011,"0",599
"629",3013,"0",417
"630",3019,"0",2664
"631",3021,"0",1462
"632",3022,"1",1797
"633",3029,"0",764
"634",3037,"0",861
"635",3042,"1",1223
"636",3043,"0",473
"637",3049,"0",686
"638",3050,"1",2758
"639",3053,"0",1194
"640",3058,"0",2271
"641",3062,"0",1593
"642",3063,"1",2710
"643",3065,"0",802
"644",3080,"0",548
"645",3088,"0",1924
"646",3093,"1",2154
"647",3096,"0",1616
"648",3101,"0",1998
"649",3103,"1",3076
"650",3107,"0",1552
"651",3109,"0",696
"652",3111,"0",1081
"653",3113,"1",2896
"654",3116,"0",233
"655",3132,"0",1390
"656",3141,"0",567
"657",3153,"0",2131
"658",3154,"0",488
"659",3160,"0",956
"660",3167,"0",1118
"661",3170,"0",1423
"662",3173,"0",1838
"663",3174,"0",2277
"664",3177,"0",891
"665",3179,"0",1295
"666",3184,"0",2060
"667",3190,"0",1880
"668",3193,"0",485
"669",3199,"0",2514
"670",3201,"0",1263
"671",3202,"0",1319
"672",3203,"0",2587
"673",3206,"1",3114
"674",3209,"0",474
"675",3210,"0",2410
"676",3217,"0",1259
"677",3220,"0",1599
"678",3228,"0",1441
"679",3232,"0",389
"680",3239,"0",3907
"681",3243,"0",4356
"682",3245,"0",696
"683",3246,"1",2680
"684",3251,"0",255
"685",3253,"1",1681
"686",3257,"0",721
"687",3260,"0",332
"688",3261,"0",1305
"689",3263,"0",1610
"690",3278,"0",924
"691",3281,"0",2218
"692",3283,"0",774
"693",3290,"0",505
"694",3297,"0",2111
"695",3304,"0",166
"696",3305,"0",1885
"697",3307,"0",442
"698",3308,"0",1333
"699",3313,"0",1288
"700",3314,"0",1467
"701",3317,"0",1482
"702",3348,"0",1134
"703",3350,"0",1130
"704",3359,"0",1559
"705",3367,"0",706
"706",3376,"0",969
"707",3378,"0",1920
"708",3384,"0",2887
"709",3386,"0",1286
"710",3387,"0",418
"711",3388,"0",1782
"712",3390,"0",661
"713",3391,"0",1330
"714",3396,"0",2800
"715",3398,"0",691
"716",3404,"0",132
"717",3406,"0",863
"718",3407,"0",672
"719",3414,"0",912
"720",3419,"0",1365
"721",3423,"1",2983
"722",3427,"0",1394
"723",3432,"0",577
"724",3434,"0",633
"725",3438,"0",249
"726",3442,"0",782
"727",3443,"0",1143
"728",3448,"0",651
"729",3456,"0",562
"730",3464,"0",840
"731",3470,"1",3414
"732",3475,"1",1876
"733",3477,"0",2032
"734",3490,"0",627
"735",3493,"0",1917
"736",3502,"0",2060
"737",3508,"0",1308
"738",3516,"0",937
"739",3517,"0",1451
"740",3525,"0",1160
"741",3532,"1",2893
"742",3535,"0",1260
"743",3536,"1",2005
"744",3540,"0",1104
"745",3547,"0",1600
"746",3550,"1",3472
"747",3557,"1",3120
"748",3562,"0",2212
"749",3563,"0",492
"750",3564,"0",1692
"751",3570,"0",1197
"752",3573,"1",2196
"753",3577,"0",1649
"754",3579,"1",1897
"755",3581,"0",837
"756",3587,"0",667
"757",3602,"0",1611
"758",3609,"0",1176
"759",3612,"0",1351
"760",3621,"0",2056
"761",3642,"0",1524
"762",3647,"1",2244
"763",3649,"1",2137
"764",3654,"0",2439
"765",3660,"0",1831
"766",3665,"0",2945
"767",3669,"0",1206
"768",3673,"0",917
"769",3675,"0",1981
"770",3678,"0",1000
"771",3680,"0",1805
"772",3686,"1",2864
"773",3693,"0",1222
"774",3710,"1",2975
"775",3713,"0",619
"776",3718,"0",2173
"777",3725,"0",1009
"778",3726,"0",1676
"779",3747,"0",1087
"780",3753,"0",340
"781",3754,"0",1183
"782",3760,"1",4390
"783",3763,"0",778
"784",3765,"0",2870
"785",3769,"0",1244
"786",3771,"1",2523
"787",3784,"0",588
"788",3787,"0",1863
"789",3794,"0",1358
"790",3796,"0",947
"791",3798,"0",592
"792",3809,"0",1119
"793",3812,"0",2199
"794",3819,"0",1228
"795",3828,"0",1374
"796",3831,"0",2561
"797",3833,"0",614
"798",3837,"1",3077
"799",3839,"0",2505
"800",3843,"0",2314
"801",3846,"0",1252
"802",3854,"0",868
"803",3861,"0",341
"804",3864,"0",1753
"805",3868,"0",523
"806",3869,"0",964
"807",3870,"0",747
"808",3883,"0",1421
"809",3886,"0",526
"810",3889,"0",1567
"811",3894,"0",2348
"812",3907,"0",473
"813",3910,"0",390
"814",3913,"0",486
"815",3914,"0",2958
"816",3921,"0",1925
"817",3923,"0",975
"818",3929,"1",2576
"819",3931,"1",4026
"820",3932,"0",1820
"821",3937,"0",2185
"822",3943,"0",1494
"823",3956,"1",2774
"824",3957,"1",2646
"825",3961,"1",2530
"826",3971,"0",566
"827",4004,"0",977
"828",4005,"0",481
"829",4006,"0",572
"830",4011,"0",872
"831",4013,"0",689
"832",4014,"0",619
"833",4016,"0",1695
"834",4017,"0",786
"835",4020,"0",1105
"836",4022,"0",1707
"837",4026,"0",1473
"838",4032,"0",911
"839",4043,"0",1122
"840",4045,"0",1974
"841",4048,"0",783
"842",4051,"0",1535
"843",4052,"0",2320
"844",4056,"0",535
"845",4059,"0",310
"846",4069,"0",1258
"847",4074,"0",2453
"848",4076,"0",1166
"849",4077,"1",4082
"850",4079,"1",2946
"851",4081,"1",2877
"852",4088,"0",877
"853",4105,"0",1327
"854",4125,"0",401
"855",4134,"0",2554
"856",4139,"0",271
"857",4146,"0",540
"858",4149,"0",1102
"859",4151,"1",2918
"860",4155,"0",839
"861",4157,"0",1159
"862",4168,"0",2485
"863",4170,"0",1544
"864",4174,"0",621
"865",4179,"0",2247
"866",4185,"0",345
"867",4199,"0",2465
"868",4205,"0",210
"869",4208,"0",430
"870",4211,"1",2237
"871",4212,"0",276
"872",4215,"1",5218
"873",4217,"0",2061
"874",4219,"1",3000
"875",4226,"1",2415
"876",4227,"0",1581
"877",4229,"0",917
"878",4231,"0",1527
"879",4233,"0",275
"880",4237,"0",1675
"881",4243,"1",2347
"882",4248,"0",1347
"883",4255,"0",1053
"884",4262,"0",839
"885",4266,"1",2043
"886",4268,"0",1925
"887",4270,"0",2653
"888",4273,"0",744
"889",4276,"0",347
"890",4277,"0",1042
"891",4279,"0",1202
"892",4299,"0",600
"893",4313,"0",592
"894",4322,"0",686
"895",4324,"0",933
"896",4328,"0",2200
"897",4331,"0",1724
"898",4335,"0",1720
"899",4337,"1",2098
"900",4338,"0",1686
"901",4343,"0",454
"902",4347,"0",304
"903",4355,"0",3166
"904",4357,"0",545
"905",4359,"0",714
"906",4362,"0",1814
"907",4368,"1",2348
"908",4374,"0",151
"909",4375,"0",1848
"910",4378,"1",2409
"911",4381,"1",2728
"912",4387,"0",1421
"913",4400,"0",408
"914",4423,"0",928
"915",4424,"0",605
"916",4428,"0",1855
"917",4433,"1",3864
"918",4436,"0",2210
"919",4437,"0",1809
"920",4439,"0",1528
"921",4449,"0",1210
"922",4456,"0",454
"923",4463,"0",478
"924",4467,"0",463
"925",4468,"0",431
"926",4469,"0",558
"927",4472,"0",1101
"928",4473,"0",800
"929",4476,"1",2849
"930",4500,"0",121
"931",4509,"0",1681
"932",4513,"1",2840
"933",4521,"0",2055
"934",4527,"0",2569
"935",4530,"0",2594
"936",4532,"0",2552
"937",4533,"0",507
"938",4535,"0",1571
"939",4536,"0",2840
"940",4542,"0",1520
"941",4551,"1",3461
"942",4554,"0",674
"943",4555,"1",2511
"944",4564,"0",1097
"945",4572,"1",2046
"946",4573,"0",965
"947",4577,"0",1662
"948",4579,"0",1289
"949",4583,"0",444
"950",4584,"0",1938
"951",4596,"0",578
"952",4599,"0",977
"953",4607,"1",2828
"954",4609,"1",1663
"955",4610,"0",345
"956",4616,"0",4755
"957",4617,"0",1687
"958",4633,"0",1070
"959",4638,"0",2052
"960",4641,"0",1064
"961",4653,"1",2147
"962",4655,"0",2612
"963",4659,"0",1858
"964",4669,"0",692
"965",4678,"0",717
"966",4685,"1",2299
"967",4686,"0",1348
"968",4691,"0",1463
"969",4695,"0",1185
"970",4698,"0",2214
"971",4700,"0",1923
"972",4711,"0",1614
"973",4722,"0",819
"974",4727,"0",2465
"975",4756,"0",464
"976",4762,"0",1976
"977",4763,"0",1668
"978",4766,"0",836
"979",4770,"0",836
"980",4784,"1",2042
"981",4791,"0",842
"982",4795,"0",484
"983",4799,"0",2480
"984",4802,"0",2151
"985",4805,"1",2805
"986",4814,"1",2306
"987",4816,"0",2167
"988",4817,"0",1101
"989",4822,"0",1448
"990",4827,"1",3593
"991",4833,"0",1084
"992",4836,"0",1051
"993",4842,"1",3341
"994",4844,"0",840
"995",4845,"1",1796
"996",4849,"0",825
"997",4850,"0",2215
"998",4860,"0",459
"999",4863,"0",1797
"1000",4871,"0",1864
"1001",4878,"0",1802
"1002",4881,"1",4228
"1003",4888,"0",1721
"1004",4900,"0",2236
"1005",4906,"0",2190
"1006",4909,"0",388
"1007",4916,"0",645
"1008",4918,"0",1499
"1009",4926,"0",1354
"1010",4928,"0",947
"1011",4941,"1",2741
"1012",4946,"0",1128
"1013",4949,"0",804
"1014",4956,"0",525
"1015",4966,"0",730
"1016",4969,"0",1858
"1017",4973,"0",254
"1018",4978,"1",2590
"1019",4982,"0",1708
"1020",4985,"0",212
"1021",4991,"0",1161
"1022",4998,"0",718
"1023",5000,"0",2980
"1024",5004,"1",1758
"1025",5005,"1",3175
"1026",5011,"1",2872
"1027",5016,"1",2411
"1028",5018,"0",710
"1029",5034,"0",1791
"1030",5038,"0",1874
"1031",5042,"0",1357
"1032",5046,"0",719
"1033",5051,"0",1888
"1034",5054,"0",1077
"1035",5057,"0",2577
"1036",5062,"0",677
"1037",5063,"0",717
"1038",5065,"0",1140
"1039",5066,"0",434
"1040",5076,"0",1680
"1041",5089,"0",1497
"1042",5092,"1",3719
"1043",5093,"0",1852
"1044",5094,"0",679
"1045",5098,"1",2723
"1046",5102,"0",706
"1047",5112,"0",1227
"1048",5117,"0",2272
"1049",5127,"1",2512
"1050",5130,"0",1110
"1051",5131,"0",2207
"1052",5132,"0",2884
"1053",5135,"1",2980
"1054",5136,"0",485
"1055",5147,"1",2807
"1056",5157,"0",909
"1057",5160,"0",1824
"1058",5165,"0",1336
"1059",5166,"0",2218
"1060",5172,"1",2858
"1061",5173,"0",1452
"1062",5179,"1",3281
"1063",5184,"1",2816
"1064",5187,"0",1852
"1065",5191,"0",1092
"1066",5193,"0",2112
"1067",5194,"0",1826
"1068",5199,"0",1526
"1069",5212,"0",108
"1070",5213,"0",1953
"1071",5224,"0",1348
"1072",5226,"0",853
"1073",5239,"0",1876
"1074",5252,"1",2974
"1075",5264,"0",1087
"1076",5266,"0",320
"1077",5271,"0",1190
"1078",5273,"0",595
"1079",5276,"1",1879
"1080",5278,"0",596
"1081",5281,"1",2315
"1082",5283,"0",2832
"1083",5291,"0",550
"1084",5294,"0",1652
"1085",5296,"1",2654
"1086",5297,"1",4363
"1087",5313,"0",558
"1088",5314,"0",715
"1089",5321,"0",1556
"1090",5325,"0",558
"1091",5326,"0",909
"1092",5328,"0",583
"1093",5334,"0",948
"1094",5338,"1",1598
"1095",5344,"0",1340
"1096",5348,"0",1592
"1097",5352,"0",1272
"1098",5353,"0",645
"1099",5354,"0",1363
"1100",5361,"1",3593
"1101",5364,"0",466
"1102",5365,"0",790
"1103",5367,"0",2115
"1104",5379,"0",953
"1105",5382,"0",2420
"1106",5386,"0",1323
"1107",5395,"0",493
"1108",5410,"0",1288
"1109",5411,"0",1806
"1110",5416,"0",2101
"1111",5424,"1",3083
"1112",5426,"0",1925
"1113",5428,"0",1098
"1114",5430,"0",1462
"1115",5433,"0",830
"1116",5437,"0",395
"1117",5440,"0",1749
"1118",5442,"1",2923
"1119",5445,"1",2935
"1120",5449,"0",1098
"1121",5452,"1",1902
"1122",5460,"1",1399
"1123",5461,"0",901
"1124",5465,"0",1737
"1125",5467,"0",1234
"1126",5471,"0",2562
"1127",5474,"1",3692
"1128",5475,"0",352
"1129",5480,"0",433
"1130",5481,"0",1630
"1131",5484,"0",680
"1132",5494,"0",1591
"1133",5495,"1",3733
"1134",5497,"0",564
"1135",5499,"1",3355
"1136",5507,"0",998
"1137",5510,"0",809
"1138",5515,"0",1298
"1139",5516,"0",844
"1140",5517,"0",731
"1141",5524,"0",370
"1142",5530,"0",1140
"1143",5534,"0",1695
"1144",5543,"0",2176
"1145",5545,"1",2992
"1146",5558,"0",1448
"1147",5562,"0",1516
"1148",5573,"0",3953
"1149",5581,"0",1329
"1150",5583,"0",2839
"1151",5587,"1",2460
"1152",5589,"1",3377
"1153",5591,"0",1115
"1154",5596,"0",1168
"1155",5606,"1",2640
"1156",5608,"0",1231
"1157",5611,"0",1377
"1158",5612,"0",2394
"1159",5614,"0",1773
"1160",5620,"0",154
"1161",5623,"0",1079
"1162",5624,"0",567
"1163",5626,"0",1113
"1164",5633,"0",1283
"1165",5635,"0",390
"1166",5640,"0",1837
"1167",5643,"0",811
"1168",5644,"0",2029
"1169",5653,"0",2257
"1170",5663,"0",744
"1171",5664,"1",2484
"1172",5667,"0",2141
"1173",5671,"0",2363
"1174",5673,"0",2357
"1175",5676,"0",582
"1176",5678,"0",1445
"1177",5698,"0",1232
"1178",5700,"0",1217
"1179",5705,"0",1231
"1180",5706,"1",2920
"1181",5711,"0",447
"1182",5712,"1",2979
"1183",5716,"0",1196
"1184",5719,"0",1586
"1185",5725,"1",3051
"1186",5728,"0",465
"1187",5734,"0",1910
"1188",5735,"0",587
"1189",5743,"0",1452
"1190",5754,"0",1277
"1191",5755,"0",2637
"1192",5756,"0",630
"1193",5766,"0",236
"1194",5770,"1",2268
"1195",5774,"0",1940
