"","INDEX","P_TARGET_FLAG"
"673",3206,"1"
"674",3209,"1"
"675",3210,"1"
"676",3217,"0"
"677",3220,"1"
"678",3228,"1"
"679",3232,"0"
"680",3239,"0"
"681",3243,"1"
"682",3245,"0"
"683",3246,"0"
"684",3251,"0"
"685",3253,"1"
"686",3257,"0"
"687",3260,"1"
"688",3261,"0"
"689",3263,"1"
"690",3278,"0"
"691",3281,"1"
"692",3283,"1"
"693",3290,"0"
"694",3297,"1"
"695",3304,"0"
"696",3305,"0"
"697",3307,"0"
"698",3308,"1"
"699",3313,"1"
"700",3314,"1"
"701",3317,"0"
"702",3348,"0"
"703",3350,"1"
"704",3359,"1"
"705",3367,"0"
"706",3376,"1"
"707",3378,"1"
"708",3384,"1"
"709",3386,"1"
"710",3387,"0"
"711",3388,"1"
"712",3390,"1"
"713",3391,"1"
"714",3396,"1"
"715",3398,"1"
"716",3404,"0"
"717",3406,"1"
"718",3407,"1"
"719",3414,"0"
"720",3419,"0"
"721",3423,"1"
"722",3427,"1"
"723",3432,"0"
"724",3434,"0"
"725",3438,"0"
"726",3442,"0"
"727",3443,"1"
"728",3448,"0"
"729",3456,"1"
"730",3464,"1"
"731",3470,"1"
"732",3475,"1"
"733",3477,"1"
"734",3490,"0"
"735",3493,"0"
"736",3502,"1"
"737",3508,"1"
"738",3516,"1"
"739",3517,"1"
"740",3525,"0"
"741",3532,"1"
"742",3535,"0"
"743",3536,"1"
"744",3540,"0"
"745",3547,"1"
"746",3550,"1"
"747",3557,"1"
"748",3562,"1"
"749",3563,"0"
"750",3564,"1"
"751",3570,"1"
"752",3573,"1"
"753",3577,"1"
"754",3579,"1"
"755",3581,"0"
"756",3587,"0"
"757",3602,"1"
"758",3609,"1"
"759",3612,"0"
"760",3621,"0"
"761",3642,"1"
"762",3647,"1"
"763",3649,"1"
"764",3654,"1"
"765",3660,"1"
"766",3665,"1"
"767",3669,"1"
"768",3673,"1"
"769",3675,"1"
"770",3678,"1"
"771",3680,"1"
"772",3686,"1"
"773",3693,"1"
"774",3710,"0"
"775",3713,"1"
"776",3718,"1"
"777",3725,"1"
"778",3726,"0"
"779",3747,"1"
"780",3753,"0"
"781",3754,"1"
"782",3760,"1"
"783",3763,"0"
"784",3765,"1"
"785",3769,"1"
"786",3771,"1"
"787",3784,"0"
"788",3787,"1"
"789",3794,"1"
"790",3796,"0"
"791",3798,"0"
"792",3809,"1"
"793",3812,"0"
"794",3819,"0"
"795",3828,"1"
"796",3831,"1"
"797",3833,"0"
"798",3837,"1"
"799",3839,"1"
"800",3843,"1"
"801",3846,"1"
"802",3854,"0"
"803",3861,"0"
"804",3864,"0"
"805",3868,"1"
"806",3869,"0"
"807",3870,"0"
"808",3883,"1"
"809",3886,"0"
"810",3889,"1"
"811",3894,"1"
"812",3907,"0"
"813",3910,"1"
"814",3913,"0"
"815",3914,"1"
"816",3921,"1"
"817",3923,"1"
"818",3929,"1"
"819",3931,"1"
"820",3932,"1"
"821",3937,"1"
"822",3943,"0"
"823",3956,"0"
"824",3957,"1"
"825",3961,"1"
"826",3971,"0"
"827",4004,"0"
"828",4005,"0"
"829",4006,"1"
"830",4011,"0"
"831",4013,"1"
"832",4014,"1"
"833",4016,"0"
"834",4017,"1"
"835",4020,"1"
"836",4022,"0"
"837",4026,"1"
"838",4032,"0"
"839",4043,"1"
"840",4045,"0"
"841",4048,"0"
"842",4051,"1"
"843",4052,"1"
"844",4056,"1"
"845",4059,"0"
"846",4069,"0"
"847",4074,"1"
"848",4076,"0"
"849",4077,"1"
"850",4079,"1"
"851",4081,"1"
"852",4088,"0"
"853",4105,"1"
"854",4125,"0"
"855",4134,"1"
"856",4139,"0"
"857",4146,"0"
"858",4149,"0"
"859",4151,"1"
"860",4155,"1"
"861",4157,"0"
"862",4168,"1"
"863",4170,"1"
"864",4174,"0"
"865",4179,"1"
"866",4185,"0"
"867",4199,"1"
"868",4205,"0"
"869",4208,"0"
"870",4211,"1"
"871",4212,"0"
"872",4215,"1"
"873",4217,"0"
"874",4219,"1"
"875",4226,"1"
"876",4227,"1"
"877",4229,"1"
"878",4231,"1"
"879",4233,"0"
"880",4237,"1"
"881",4243,"1"
"882",4248,"0"
"883",4255,"0"
"884",4262,"1"
"885",4266,"1"
"886",4268,"1"
"887",4270,"1"
"888",4273,"1"
"889",4276,"0"
"890",4277,"0"
"891",4279,"1"
"892",4299,"1"
"893",4313,"0"
"894",4322,"0"
"895",4324,"1"
"896",4328,"1"
"897",4331,"1"
"898",4335,"1"
"899",4337,"1"
"900",4338,"1"
"901",4343,"1"
"902",4347,"0"
"903",4355,"1"
"904",4357,"1"
"905",4359,"0"
"906",4362,"1"
"907",4368,"0"
"908",4374,"0"
"909",4375,"1"
"910",4378,"1"
"911",4381,"1"
"912",4387,"1"
"913",4400,"0"
"914",4423,"0"
"915",4424,"0"
"916",4428,"0"
"917",4433,"1"
"918",4436,"0"
"919",4437,"1"
"920",4439,"1"
"921",4449,"1"
"922",4456,"0"
"923",4463,"1"
"924",4467,"1"
"925",4468,"1"
"926",4469,"0"
"927",4472,"1"
"928",4473,"0"
"929",4476,"1"
"930",4500,"0"
"931",4509,"1"
"932",4513,"1"
"933",4521,"0"
"934",4527,"1"
"935",4530,"1"
"936",4532,"1"
"937",4533,"0"
"938",4535,"0"
"939",4536,"1"
"940",4542,"0"
"941",4551,"1"
"942",4554,"0"
"943",4555,"1"
"944",4564,"1"
"945",4572,"1"
"946",4573,"1"
"947",4577,"1"
"948",4579,"1"
"949",4583,"1"
"950",4584,"1"
"951",4596,"1"
"952",4599,"1"
"953",4607,"1"
"954",4609,"0"
"955",4610,"1"
"956",4616,"1"
"957",4617,"1"
"958",4633,"1"
"959",4638,"1"
"960",4641,"1"
"961",4653,"1"
"962",4655,"1"
"963",4659,"1"
"964",4669,"0"
"965",4678,"0"
"966",4685,"1"
"967",4686,"1"
"968",4691,"1"
"969",4695,"1"
"970",4698,"1"
"971",4700,"0"
"972",4711,"1"
"973",4722,"0"
"974",4727,"1"
"975",4756,"0"
"976",4762,"1"
"977",4763,"1"
"978",4766,"1"
"979",4770,"0"
"980",4784,"1"
"981",4791,"1"
"982",4795,"0"
"983",4799,"1"
"984",4802,"1"
"985",4805,"1"
"986",4814,"1"
"987",4816,"1"
"988",4817,"0"
"989",4822,"0"
"990",4827,"1"
"991",4833,"0"
"992",4836,"0"
"993",4842,"1"
"994",4844,"0"
"995",4845,"0"
"996",4849,"0"
"997",4850,"1"
"998",4860,"1"
"999",4863,"1"
"1000",4871,"1"
"1001",4878,"1"
"1002",4881,"1"
"1003",4888,"1"
"1004",4900,"1"
"1005",4906,"1"
"1006",4909,"0"
"1007",4916,"0"
"1008",4918,"1"
"1009",4926,"0"
"1010",4928,"0"
"1011",4941,"1"
"1012",4946,"0"
"1013",4949,"0"
"1014",4956,"0"
"1015",4966,"0"
"1016",4969,"1"
"1017",4973,"0"
"1018",4978,"1"
"1019",4982,"1"
"1020",4985,"0"
"1021",4991,"1"
"1022",4998,"1"
"1023",5000,"1"
"1024",5004,"1"
"1025",5005,"1"
"1026",5011,"1"
"1027",5016,"1"
"1028",5018,"0"
"1029",5034,"0"
"1030",5038,"1"
"1031",5042,"1"
"1032",5046,"1"
"1033",5051,"1"
"1034",5054,"1"
"1035",5057,"1"
"1036",5062,"0"
"1037",5063,"1"
"1038",5065,"1"
"1039",5066,"0"
"1040",5076,"0"
"1041",5089,"0"
"1042",5092,"1"
"1043",5093,"1"
"1044",5094,"1"
"1045",5098,"1"
"1046",5102,"0"
"1047",5112,"1"
"1048",5117,"1"
"1049",5127,"1"
"1050",5130,"1"
"1051",5131,"1"
"1052",5132,"1"
"1053",5135,"1"
"1054",5136,"0"
"1055",5147,"1"
"1056",5157,"1"
"1057",5160,"1"
"1058",5165,"1"
"1059",5166,"1"
"1060",5172,"1"
"1061",5173,"0"
"1062",5179,"1"
"1063",5184,"1"
"1064",5187,"1"
"1065",5191,"1"
"1066",5193,"1"
"1067",5194,"1"
"1068",5199,"1"
"1069",5212,"0"
"1070",5213,"1"
"1071",5224,"1"
"1072",5226,"0"
"1073",5239,"1"
"1074",5252,"1"
"1075",5264,"1"
"1076",5266,"0"
"1077",5271,"1"
"1078",5273,"1"
"1079",5276,"1"
"1080",5278,"0"
"1081",5281,"1"
"1082",5283,"1"
"1083",5291,"0"
"1084",5294,"1"
"1085",5296,"1"
"1086",5297,"1"
"1087",5313,"1"
"1088",5314,"0"
"1089",5321,"1"
"1090",5325,"0"
"1091",5326,"0"
"1092",5328,"0"
"1093",5334,"0"
"1094",5338,"0"
"1095",5344,"1"
"1096",5348,"1"
"1097",5352,"0"
"1098",5353,"1"
"1099",5354,"1"
"1100",5361,"1"
"1101",5364,"0"
"1102",5365,"0"
"1103",5367,"1"
"1104",5379,"0"
"1105",5382,"0"
"1106",5386,"1"
"1107",5395,"0"
"1108",5410,"1"
"1109",5411,"1"
"1110",5416,"1"
"1111",5424,"1"
"1112",5426,"1"
"1113",5428,"0"
"1114",5430,"1"
"1115",5433,"0"
"1116",5437,"0"
"1117",5440,"1"
"1118",5442,"1"
"1119",5445,"1"
"1120",5449,"0"
"1121",5452,"1"
"1122",5460,"1"
"1123",5461,"1"
"1124",5465,"1"
"1125",5467,"1"
"1126",5471,"0"
"1127",5474,"1"
"1128",5475,"0"
"1129",5480,"0"
"1130",5481,"1"
"1131",5484,"0"
"1132",5494,"1"
"1133",5495,"1"
"1134",5497,"0"
"1135",5499,"1"
"1136",5507,"1"
"1137",5510,"1"
"1138",5515,"1"
"1139",5516,"1"
"1140",5517,"0"
"1141",5524,"1"
"1142",5530,"1"
"1143",5534,"0"
"1144",5543,"1"
"1145",5545,"1"
"1146",5558,"1"
"1147",5562,"0"
"1148",5573,"1"
"1149",5581,"0"
"1150",5583,"1"
"1151",5587,"1"
"1152",5589,"1"
"1153",5591,"0"
"1154",5596,"1"
"1155",5606,"1"
"1156",5608,"1"
"1157",5611,"1"
"1158",5612,"1"
"1159",5614,"1"
"1160",5620,"0"
"1161",5623,"1"
"1162",5624,"1"
"1163",5626,"1"
"1164",5633,"1"
"1165",5635,"0"
"1166",5640,"1"
"1167",5643,"0"
"1168",5644,"0"
"1169",5653,"1"
"1170",5663,"1"
"1171",5664,"1"
"1172",5667,"1"
"1173",5671,"1"
"1174",5673,"1"
"1175",5676,"1"
"1176",5678,"1"
"1177",5698,"0"
"1178",5700,"0"
"1179",5705,"1"
"1180",5706,"1"
"1181",5711,"0"
"1182",5712,"1"
"1183",5716,"1"
"1184",5719,"1"
"1185",5725,"1"
"1186",5728,"0"
"1187",5734,"1"
"1188",5735,"0"
"1189",5743,"1"
"1190",5754,"1"
"1191",5755,"1"
"1192",5756,"0"
"1193",5766,"0"
"1194",5770,"1"
"1195",5774,"1"
"1196",5775,"0"
"1197",5776,"0"
"1198",5778,"1"
"1199",5786,"1"
"1200",5787,"1"
"1201",5791,"1"
"1202",5794,"1"
"1203",5803,"1"
"1204",5804,"1"
"1205",5808,"1"
"1206",5810,"0"
"1207",5813,"1"
"1208",5828,"1"
"1209",5839,"1"
"1210",5842,"1"
"1211",5843,"1"
"1212",5844,"1"
"1213",5847,"1"
"1214",5851,"0"
"1215",5854,"1"
"1216",5857,"0"
"1217",5866,"1"
"1218",5874,"1"
"1219",5886,"0"
"1220",5895,"0"
"1221",5897,"0"
"1222",5898,"1"
"1223",5900,"1"
"1224",5902,"1"
"1225",5908,"1"
"1226",5909,"1"
"1227",5912,"0"
"1228",5913,"0"
"1229",5917,"1"
"1230",5918,"1"
"1231",5921,"1"
"1232",5931,"0"
"1233",5942,"1"
"1234",5943,"1"
"1235",5950,"1"
"1236",5954,"0"
"1237",5983,"0"
"1238",5995,"1"
"1239",6002,"0"
"1240",6005,"1"
"1241",6009,"1"
"1242",6011,"1"
"1243",6012,"1"
"1244",6019,"1"
"1245",6021,"1"
"1246",6029,"1"
"1247",6036,"1"
"1248",6037,"1"
"1249",6038,"0"
"1250",6043,"1"
"1251",6045,"1"
"1252",6047,"0"
"1253",6048,"0"
"1254",6061,"1"
"1255",6063,"0"
"1256",6064,"1"
"1257",6068,"1"
"1258",6069,"0"
"1259",6070,"1"
"1260",6071,"1"
"1261",6074,"1"
"1262",6079,"1"
"1263",6082,"0"
"1264",6088,"1"
"1265",6094,"1"
"1266",6095,"0"
"1267",6098,"1"
"1268",6102,"0"
"1269",6105,"1"
"1270",6113,"0"
"1271",6116,"0"
"1272",6120,"1"
"1273",6121,"0"
"1274",6126,"1"
"1275",6144,"1"
"1276",6145,"1"
"1277",6153,"1"
"1278",6156,"0"
"1279",6159,"1"
"1280",6162,"1"
"1281",6184,"1"
"1282",6188,"1"
"1283",6189,"1"
"1284",6191,"1"
"1285",6211,"1"
"1286",6216,"0"
"1287",6218,"1"
"1288",6222,"0"
"1289",6235,"1"
"1290",6245,"1"
"1291",6248,"1"
"1292",6253,"1"
"1293",6256,"1"
"1294",6257,"1"
"1295",6259,"1"
"1296",6266,"1"
"1297",6268,"0"
"1298",6275,"1"
"1299",6280,"1"
"1300",6283,"1"
"1301",6288,"1"
"1302",6289,"1"
"1303",6301,"1"
"1304",6308,"0"
"1305",6314,"0"
"1306",6315,"0"
"1307",6316,"1"
"1308",6317,"1"
"1309",6318,"0"
"1310",6323,"1"
"1311",6329,"1"
"1312",6336,"1"
"1313",6341,"1"
"1314",6348,"1"
"1315",6349,"0"
"1316",6365,"0"
"1317",6372,"0"
"1318",6376,"1"
"1319",6378,"0"
"1320",6379,"1"
"1321",6382,"0"
"1322",6383,"1"
"1323",6389,"1"
"1324",6390,"0"
"1325",6392,"1"
"1326",6394,"1"
"1327",6402,"0"
"1328",6404,"0"
"1329",6405,"0"
"1330",6406,"1"
"1331",6409,"0"
"1332",6410,"1"
"1333",6411,"1"
"1334",6421,"1"
"1335",6428,"1"
"1336",6429,"0"
"1337",6432,"0"
"1338",6436,"0"
"1339",6437,"1"
"1340",6438,"1"
"1341",6445,"1"
"1342",6447,"1"
"1343",6450,"0"
"1344",6462,"1"
"1345",6467,"1"
"1346",6478,"0"
"1347",6484,"0"
"1348",6492,"0"
"1349",6497,"0"
"1350",6504,"0"
"1351",6505,"1"
"1352",6513,"1"
"1353",6525,"1"
"1354",6526,"1"
"1355",6528,"0"
"1356",6540,"0"
"1357",6542,"1"
"1358",6544,"1"
"1359",6548,"0"
"1360",6552,"0"
"1361",6558,"0"
"1362",6567,"0"
"1363",6569,"0"
"1364",6572,"0"
"1365",6577,"0"
"1366",6581,"1"
"1367",6588,"1"
"1368",6591,"1"
"1369",6594,"1"
"1370",6600,"1"
"1371",6602,"0"
"1372",6604,"1"
"1373",6605,"0"
"1374",6614,"0"
"1375",6616,"1"
"1376",6621,"1"
"1377",6640,"1"
"1378",6641,"1"
"1379",6643,"0"
